"lbdnum","sic3","firstyear","lastyear","mu_1977","mu_1982","mu_1987","mu_1992","mu_1997","mu_2002","emp_1977","emp_1978","emp_1979","emp_1980","emp_1981","emp_1982","emp_1983","emp_1984","emp_1985","emp_1986","emp_1987","emp_1988","emp_1989","emp_1990","emp_1991","emp_1992","emp_1993","emp_1994","emp_1995","emp_1996","emp_1997","emp_1998","emp_1999","emp_2000"
100010198402,239,1992,1993,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
100018973855,239,1988,1992,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,6,1,NA,NA,NA,NA,NA,NA,NA,NA
100009979257,239,1991,1994,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,NA,NA,NA,NA,NA,NA
100020342155,239,1978,1984,NA,0,0,NA,NA,NA,NA,0,14,5,15,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100003342546,239,1991,2000,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,20,5,8,1,2,6,5,5
100020614100,239,1996,1998,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,NA,NA
100002963881,239,1981,1983,NA,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001038359,239,1983,2000,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,7,5,7,34,50,44,31,35,70,47,60,46,35,2,9,23,26,18
100017561765,239,1977,1985,0,0,0,NA,NA,NA,5,10,35,45,92,12,16,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100009857044,239,1979,1982,NA,0,NA,NA,NA,NA,NA,NA,3,5,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100004458372,239,1977,1977,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100010063336,239,1977,1984,0,0,0,NA,NA,NA,1,6,26,27,68,44,43,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100009231002,239,1988,1994,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,17,22,29,58,9,3,NA,NA,NA,NA,NA,NA
100012832034,239,1986,1993,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,3,9,9,1,1,NA,NA,NA,NA,NA,NA,NA
100014980567,239,1978,1983,NA,0,0,NA,NA,NA,NA,0,1,9,16,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100010017336,239,1977,1987,0,0,0,NA,NA,NA,2,10,34,7,20,27,22,50,57,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100008004678,239,1988,2000,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,18,45,81,97,26,8,9,21,40,45,12
100001093013,239,1990,2000,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,47,61,24,9,11,20,23,1,1
100012157477,239,1978,1987,NA,0,0,NA,NA,NA,NA,0,4,18,4,5,5,11,25,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100017265605,239,1999,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
100012639074,239,1987,1990,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100002318528,239,1987,2000,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,20,48,89,5,15,18,4,6,13,6,12,22
100012375383,239,1991,1993,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,NA,NA,NA,NA,NA,NA,NA
100000813013,239,1991,1995,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,17,22,9,2,NA,NA,NA,NA,NA
100009006284,239,1979,1981,NA,0,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100004851085,239,1995,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,6,12,13
100009476897,239,1980,1986,NA,0,0,NA,NA,NA,NA,NA,NA,1,1,10,13,13,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001002252,239,1988,1999,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,8,6,25,30,48,22,8,12,2,1,5,NA
100003968977,239,1995,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,1,2
100004956405,239,1998,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,7
100009119034,239,1977,1982,0,0,NA,NA,NA,NA,6,8,21,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100010146023,239,1978,1989,NA,0,0,0,NA,NA,NA,0,24,40,30,13,26,26,11,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011205342,239,1989,1994,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,9,18,22,5,NA,NA,NA,NA,NA,NA
100018726081,239,1992,2000,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,4,15,33,38,35,31,59
100014062152,239,1984,1987,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020960820,239,1977,1977,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100012474917,239,1990,2000,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,27,56,13,25,2,1,6,1,2
100004298030,239,1981,1999,NA,0,0,0,0,0,NA,NA,NA,NA,0,5,2,20,62,30,56,48,49,50,9,8,18,16,27,2,9,21,2,NA
100016600450,239,1982,1988,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,5,13,10,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000134765,239,1994,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,2,6,12,22
100004720723,239,1986,1989,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100004849734,239,1999,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
100020873883,239,1986,1989,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100010751220,239,2000,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
100005571448,239,1992,1996,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,3,2,4,NA,NA,NA,NA
100001222155,239,1987,1993,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,3,4,2,4,7,NA,NA,NA,NA,NA,NA,NA
100006472838,239,1979,1988,NA,0,0,0,NA,NA,NA,NA,0,15,42,37,23,23,18,40,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100006748046,239,1988,2000,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9,3,0,8,18,5,9,5,3,4,4,3
100012235204,239,1991,1993,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,7,NA,NA,NA,NA,NA,NA,NA
100017427520,239,1977,1985,0,0,0,NA,NA,NA,2,10,29,39,30,25,12,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001053303,239,1977,1982,0,0,NA,NA,NA,NA,5,18,32,5,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100004517866,239,1992,1995,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,1,NA,NA,NA,NA,NA
100014442703,239,1990,1998,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,9,17,17,22,20,50,53,NA,NA
100004653532,239,1987,1988,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001176009,239,1977,1983,0,0,0,NA,NA,NA,3,9,6,7,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100018853145,239,1996,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,4,8,16
100008270292,239,1981,2000,NA,0,0,0,0,0,NA,NA,NA,NA,11,31,61,36,18,44,10,16,31,10,4,20,36,11,17,22,10,3,6,2
100005442037,239,1995,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,17,34,35,40,27
100013911482,239,1992,2000,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,12,17,50,102,3,3
100002673637,239,1977,1999,1,1,1,1,1,1,4,6,20,44,77,169,85,58,85,140,143,225,194,337,607,665,583,20,27,58,21,7,9,NA
100009380614,239,1996,1997,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
100003648722,239,1977,1988,0,0,0,0,NA,NA,5,33,58,57,41,37,61,36,15,11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100004567478,239,1990,2000,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8,13,7,13,14,31,36,37,28,48
100018327383,239,1998,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,5
100020611067,239,1979,2000,NA,0,1,1,1,1,NA,NA,8,10,19,5,13,50,47,38,30,35,26,22,17,14,15,4,19,45,54,19,25,4
100001395994,239,1999,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
100020328081,239,1997,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2
100009898630,239,1977,1977,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100005267998,239,1982,1983,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020064143,239,1997,1998,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
100007444281,239,1977,1979,0,0,NA,NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020790144,239,1977,2000,0,0,0,0,0,0,19,18,1,23,3,55,11,14,9,2,6,9,1,1,8,13,35,24,9,2,2,6,5,10
100006654493,239,1979,1992,NA,0,0,0,NA,NA,NA,NA,10,34,10,14,7,14,7,13,8,8,4,4,8,17,NA,NA,NA,NA,NA,NA,NA,NA
100008030377,239,1980,1983,NA,0,0,NA,NA,NA,NA,NA,NA,3,8,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100015515461,239,1977,1998,1,1,1,0,1,1,20,18,29,19,75,156,294,412,328,368,115,120,106,118,17,4,2,1,2,8,16,5,NA,NA
100003237464,239,1997,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,9,3
100001347384,239,1977,1993,1,0,0,0,0,NA,3,9,43,58,6,28,43,25,22,45,30,43,19,13,20,4,7,NA,NA,NA,NA,NA,NA,NA
100001670087,239,1989,1996,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,7,3,2,1,4,3,NA,NA,NA,NA
100002320094,239,1981,1982,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100010882917,239,2000,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
100007516858,239,1994,1999,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,9,28,26,20,NA
100009659027,239,1979,2000,NA,1,1,1,1,1,NA,NA,18,14,9,15,33,23,5,52,7,26,47,15,14,5,7,3,9,5,9,4,1,2
100000764929,239,1993,1994,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA
100017916683,239,1977,1977,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100018694897,239,1994,1997,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,8,NA,NA,NA
100010478458,239,1982,1983,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100002208311,239,1994,1995,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
100004481677,239,1977,2000,1,1,1,1,1,1,5,15,12,12,58,104,112,205,30,75,46,53,62,103,191,240,122,143,138,27,50,74,110,96
100011591655,239,1987,2000,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,29,20,1,3,13,13,6,1,2,1,3,7
100006724542,239,1977,1980,1,1,NA,NA,NA,NA,7,17,28,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100013796974,239,1977,1978,0,0,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011789239,239,1990,2000,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,37,37,19,8,5,19,7,19,1,0
100004521986,239,1986,1991,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,2,6,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
100006977700,239,1987,1989,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100009835554,239,1993,1997,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,4,NA,NA,NA
100001492421,239,1988,1989,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100019968285,239,1992,1997,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,4,7,4,NA,NA,NA
100006653005,239,1982,1992,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,17,21,9,17,6,5,10,16,27,17,NA,NA,NA,NA,NA,NA,NA,NA
100013244746,239,2000,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
100013330893,239,1994,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,14,11,21,24,40,76
100017696968,239,1993,1995,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA
100018996374,239,1997,2000,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3
100007177232,239,1977,2000,0,0,0,0,0,0,24,44,115,33,7,30,36,23,22,2,12,4,1,9,32,24,13,4,9,11,20,23,38,26
100000300704,239,1988,2000,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,28,19,31,2,13,13,19,3,2,6,11,4
100020180571,239,1989,2000,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,38,22,8,18,17,16,26,56,62,57
100019393958,239,1991,2000,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,11,21,19,10,5,15,19,18
100019674109,239,1977,1977,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100014334719,239,1995,1998,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,NA,NA
100020103402,239,1980,1983,NA,1,1,NA,NA,NA,NA,NA,NA,0,6,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100015016015,239,2000,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
100007293204,239,1999,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100003045594,239,1981,1990,NA,0,0,0,NA,NA,NA,NA,NA,NA,6,2,9,26,57,3,7,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001793197,239,1977,1982,1,1,NA,NA,NA,NA,9,25,36,34,14,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100003998270,239,1977,2000,0,0,0,0,0,0,3,13,79,25,3,5,20,12,12,27,2,20,8,24,8,3,4,5,8,5,15,19,15,15
100007977898,239,1994,1997,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,1,NA,NA,NA
100019402189,239,1999,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
100017925277,239,1978,1984,NA,0,0,NA,NA,NA,NA,0,5,1,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100004775990,239,1989,1998,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,25,6,10,19,3,6,1,7,3,NA,NA
100013458781,239,1977,2000,0,0,0,0,0,0,14,19,90,63,45,16,17,10,9,38,9,16,7,6,16,39,7,12,7,8,4,1,1,0
100009045829,239,1990,1992,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA
100008296574,239,1977,1977,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100009863577,239,1991,1995,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,9,1,1,NA,NA,NA,NA,NA
100003233096,239,1983,1996,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,15,29,14,22,46,39,38,69,48,24,44,15,12,1,NA,NA,NA,NA
100019125700,239,1985,2000,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9,38,42,43,32,27,40,29,42,35,20,26,12,16,59,16
100017745933,239,1977,1984,1,0,0,NA,NA,NA,7,6,3,2,7,10,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100003869508,239,1992,1999,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4,4,1,8,1,1,NA
100011124740,239,1977,1979,0,0,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100007334752,239,1984,1991,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,1,4,6,6,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
