"lbdnum","sic3","firstyear","lastyear","mu_1977","mu_1982","mu_1987","mu_1992","mu_1997","mu_2002"
100013465576,829,1977,2000,0,0,0,0,0,0
100020101459,829,1989,1996,NA,NA,NA,0,0,NA
100011712524,829,1977,1997,0,0,0,0,0,NA
100001242098,829,1995,2000,NA,NA,NA,NA,0,0
100004096747,829,1995,1998,NA,NA,NA,NA,1,1
100009460518,829,1977,2000,1,1,1,1,0,0
100005217062,829,1987,2000,NA,NA,0,0,0,0
100011265885,829,1977,1991,0,0,0,0,NA,NA
100019241066,829,1977,2000,1,1,1,1,0,0
100016800045,829,1977,1996,0,1,1,1,1,NA
100002441543,829,1985,1987,NA,NA,0,NA,NA,NA
100006261617,829,1977,2000,0,0,0,0,0,0
100013487913,829,1995,2000,NA,NA,NA,NA,0,0
100007935153,829,1977,2000,0,0,0,0,0,0
100000714900,829,1977,1996,0,0,0,0,0,NA
100003972762,829,1977,1986,0,0,0,NA,NA,NA
100017707550,829,2000,2000,NA,NA,NA,NA,NA,0
100009394506,829,1997,1998,NA,NA,NA,NA,0,0
100009997476,829,1998,2000,NA,NA,NA,NA,NA,0
100014606764,829,1977,1984,0,0,0,NA,NA,NA
100006913847,829,1988,1989,NA,NA,NA,0,NA,NA
100015908035,829,1977,2000,0,0,0,0,0,0
100007004175,829,1977,1996,1,1,1,1,1,NA
100007109347,829,1977,2000,1,1,1,1,1,1
100012221234,829,1977,2000,0,0,0,0,0,0
100015419569,829,1986,2000,NA,NA,1,1,1,1
100009833922,829,1977,1982,0,0,NA,NA,NA,NA
100003284861,829,1995,1998,NA,NA,NA,NA,0,0
100016864502,829,1977,1986,0,0,0,NA,NA,NA
100010526699,829,1977,2000,0,0,0,0,0,0
100017794586,829,1977,1979,0,0,NA,NA,NA,NA
100019695985,829,1993,2000,NA,NA,NA,NA,0,0
100007183648,829,1977,1992,0,0,0,0,NA,NA
100018224285,829,1978,1979,NA,0,NA,NA,NA,NA
100013971203,829,1998,2000,NA,NA,NA,NA,NA,1
100008956496,829,1989,1997,NA,NA,NA,0,0,NA
100014336363,829,1977,2000,0,0,0,0,0,0
100004446432,829,1993,1998,NA,NA,NA,NA,0,0
100005126253,829,1994,2000,NA,NA,NA,NA,0,0
100014299453,829,1990,2000,NA,NA,NA,1,1,1
100012702976,829,1986,1992,NA,NA,0,0,NA,NA
100017423129,829,1977,2000,0,0,0,0,0,0
100010082596,829,1992,1997,NA,NA,NA,0,0,NA
100018208866,829,1988,2000,NA,NA,NA,0,0,0
100007748802,829,1996,2000,NA,NA,NA,NA,0,0
100017098478,829,1986,2000,NA,NA,0,0,0,0
100003165230,829,1977,2000,0,0,0,0,0,0
100002793079,829,1998,2000,NA,NA,NA,NA,NA,0
100008350938,829,1990,1996,NA,NA,NA,0,0,NA
100001108101,829,1977,1978,0,0,NA,NA,NA,NA
100015676225,829,1981,1984,NA,0,0,NA,NA,NA
100001595774,829,1986,1989,NA,NA,0,0,NA,NA
100015639094,829,1986,1996,NA,NA,0,0,0,NA
100013717105,829,1977,1990,0,0,0,0,NA,NA
100005225721,829,1977,2000,0,0,0,0,0,0
100001758300,829,1995,2000,NA,NA,NA,NA,0,0
100008709324,829,1987,1988,NA,NA,0,0,NA,NA
100019328897,829,1977,1982,1,1,NA,NA,NA,NA
100014207312,829,1977,1977,1,NA,NA,NA,NA,NA
100011133067,829,1999,2000,NA,NA,NA,NA,NA,0
100017883281,829,1977,2000,1,1,1,0,0,0
100007189324,829,1990,1994,NA,NA,NA,0,0,NA
100000446973,829,1977,2000,0,0,0,0,0,0
100009898568,829,1985,1987,NA,NA,0,NA,NA,NA
100012869626,829,1977,2000,0,0,0,0,0,0
100013166403,829,1977,2000,0,0,0,0,0,0
100008571491,829,1995,2000,NA,NA,NA,NA,1,1
100011026974,829,1994,2000,NA,NA,NA,NA,0,0
100007070236,829,1990,2000,NA,NA,NA,1,1,1
100012275630,829,1977,1987,0,0,0,NA,NA,NA
100001546090,829,1980,1987,NA,1,1,NA,NA,NA
100008222879,829,1977,2000,0,0,0,0,0,0
100012469958,829,1977,1977,1,NA,NA,NA,NA,NA
100003311882,829,1977,1987,0,0,0,NA,NA,NA
100006144852,829,1982,2000,NA,0,1,0,0,0
100010428852,829,2000,2000,NA,NA,NA,NA,NA,0
100009471081,829,1977,2000,1,1,1,1,1,1
100018741181,829,1977,2000,0,0,0,0,0,0
100009391302,829,1979,1985,NA,0,0,NA,NA,NA
100013720162,829,1983,1985,NA,NA,0,NA,NA,NA
100010568442,829,1990,2000,NA,NA,NA,0,0,0
100019322141,829,1977,2000,0,0,0,0,0,0
100008528079,829,1978,1991,NA,0,0,0,NA,NA
100008040412,829,1995,1997,NA,NA,NA,NA,0,NA
100002948238,829,1977,2000,0,0,0,0,0,0
100012314634,829,1999,2000,NA,NA,NA,NA,NA,0
100001006059,829,1977,2000,1,1,1,1,1,1
100016059988,829,1977,2000,0,0,0,0,0,0
100009889560,829,1999,2000,NA,NA,NA,NA,NA,0
100013934804,829,1977,1996,0,0,0,0,0,NA
100020837704,829,1977,1984,1,1,1,NA,NA,NA
100009841087,829,1994,2000,NA,NA,NA,NA,0,0
100017800607,829,1977,2000,0,0,0,0,0,0
100013587406,829,1989,1996,NA,NA,NA,0,0,NA
100008495602,829,1977,1978,0,0,NA,NA,NA,NA
100016187152,829,2000,2000,NA,NA,NA,NA,NA,0
100010915614,829,1993,1998,NA,NA,NA,NA,0,0
100015383607,829,1977,1977,1,NA,NA,NA,NA,NA
100005819359,829,1991,1997,NA,NA,NA,0,0,NA
100017549162,829,1977,2000,1,0,0,0,0,0
100011614907,829,1984,2000,NA,NA,0,0,1,0
100016316525,829,1986,2000,NA,NA,1,1,1,1
100009698101,829,1997,2000,NA,NA,NA,NA,0,0
100010061024,829,1979,1984,NA,0,0,NA,NA,NA
100016919377,829,1977,1978,0,0,NA,NA,NA,NA
100011475815,829,1977,2000,0,0,0,0,0,0
100000799820,829,1977,2000,1,0,0,0,0,0
100009152762,829,2000,2000,NA,NA,NA,NA,NA,0
100012898908,829,1979,1990,NA,1,0,0,NA,NA
100004593411,829,1977,2000,0,0,0,0,0,0
100009568772,829,1977,1983,1,1,1,NA,NA,NA
100008974037,829,1977,2000,0,0,0,0,0,0
100013297840,829,1997,2000,NA,NA,NA,NA,0,0
100005764943,829,1998,1999,NA,NA,NA,NA,NA,0
100002186789,829,1998,2000,NA,NA,NA,NA,NA,0
100010486966,829,1987,1991,NA,NA,0,0,NA,NA
100002181935,829,1977,1986,0,0,0,NA,NA,NA
100003230285,829,1986,1988,NA,NA,0,0,NA,NA
100017921996,829,2000,2000,NA,NA,NA,NA,NA,0
100010681856,829,1977,2000,1,1,1,1,1,1
100014644900,829,1977,2000,1,1,1,1,1,1
100015624399,829,1977,1978,0,0,NA,NA,NA,NA
100011000011,829,1994,2000,NA,NA,NA,NA,1,1
100001038175,829,1977,2000,0,0,0,0,0,0
100000825957,829,1982,1984,NA,0,0,NA,NA,NA
100020388275,829,1977,2000,1,1,1,1,1,1
100015153303,829,1984,1989,NA,NA,1,1,NA,NA
100013912611,829,1998,2000,NA,NA,NA,NA,NA,0
100019814377,829,1977,2000,0,0,0,0,0,0
100020683941,829,2000,2000,NA,NA,NA,NA,NA,1
100014786534,829,1983,1987,NA,NA,0,NA,NA,NA
100002133765,829,1997,2000,NA,NA,NA,NA,0,0
100017691313,829,1987,1989,NA,NA,0,0,NA,NA
100017002829,829,1977,1978,0,0,NA,NA,NA,NA
100010800025,829,1998,2000,NA,NA,NA,NA,NA,0
100008310602,829,1977,2000,0,0,0,0,0,0
100016022365,829,1996,2000,NA,NA,NA,NA,0,0
100003000495,829,1999,2000,NA,NA,NA,NA,NA,0
100007060894,829,1994,1997,NA,NA,NA,NA,0,NA
100015131453,829,1990,1995,NA,NA,NA,0,0,NA
100004963600,829,1987,1988,NA,NA,0,0,NA,NA
100020964105,829,1977,2000,0,0,0,0,0,0
100014368496,829,1995,2000,NA,NA,NA,NA,0,0
100020069062,829,1983,1993,NA,NA,1,1,1,NA
100018133216,829,1987,1994,NA,NA,0,0,0,NA
100009453552,829,1989,2000,NA,NA,NA,0,0,0
100010199207,829,1989,1992,NA,NA,NA,0,NA,NA
100001697366,829,1995,2000,NA,NA,NA,NA,0,0
100002258342,829,1978,2000,NA,0,0,0,0,0
100020110926,829,1996,2000,NA,NA,NA,NA,0,0
100020228645,829,1992,1995,NA,NA,NA,0,0,NA
100002347315,829,1979,1982,NA,0,NA,NA,NA,NA
100014261214,829,1994,2000,NA,NA,NA,NA,0,0
100004705789,829,1999,2000,NA,NA,NA,NA,NA,0
100019599070,829,1997,1998,NA,NA,NA,NA,0,0
100005574210,829,1998,2000,NA,NA,NA,NA,NA,1
100004262400,829,1977,2000,0,0,0,0,0,0
100007082765,829,1981,2000,NA,0,0,0,0,0
100009674220,829,1989,1997,NA,NA,NA,0,0,NA
100005133905,829,1977,2000,0,0,0,0,0,0
100013403943,829,1998,2000,NA,NA,NA,NA,NA,0
100014591480,829,1986,1988,NA,NA,0,0,NA,NA
100014058763,829,1996,1998,NA,NA,NA,NA,0,0
100009447779,829,1997,2000,NA,NA,NA,NA,1,1
100012766363,829,1977,2000,1,1,1,1,0,0
100005744145,829,1977,1997,0,0,1,1,1,NA
100010635730,829,1992,2000,NA,NA,NA,0,0,0
100012725665,829,1982,2000,NA,0,0,1,1,0
100017184064,829,1995,1996,NA,NA,NA,NA,0,NA
100005731920,829,1992,2000,NA,NA,NA,0,0,0
100013698230,829,1977,2000,0,0,0,0,0,0
100013801728,829,1998,2000,NA,NA,NA,NA,NA,0
100020628035,829,1982,1995,NA,0,0,0,0,NA
100005681318,829,1977,2000,0,0,0,0,0,0
100019581854,829,1977,2000,0,0,0,0,0,0
100004328106,829,1989,2000,NA,NA,NA,0,0,0
100000607708,829,1990,2000,NA,NA,NA,1,1,1
100012429674,829,1985,1992,NA,NA,0,0,NA,NA
100015950130,829,1977,1981,0,0,NA,NA,NA,NA
100005554746,829,1994,1996,NA,NA,NA,NA,0,NA
100014683024,829,1977,2000,0,0,0,0,0,0
100020332161,829,1997,1999,NA,NA,NA,NA,1,1
100020224150,829,1987,1997,NA,NA,0,0,0,NA
100018543787,829,1980,2000,NA,0,0,0,0,0
100004887914,829,1977,2000,0,0,0,0,0,0
100021048416,829,1977,1985,0,0,0,NA,NA,NA
100018847744,829,1977,2000,0,0,0,0,0,0
100010189302,829,1977,1988,0,0,0,0,NA,NA
100006034327,829,1977,2000,0,0,0,0,0,0
100006464752,829,1981,1987,NA,0,0,NA,NA,NA
100012737966,829,1988,1995,NA,NA,NA,0,0,NA
100018001260,829,1990,1993,NA,NA,NA,0,0,NA
100001690449,829,1977,1982,0,0,NA,NA,NA,NA
100012688575,829,1978,1982,NA,1,NA,NA,NA,NA
100000666719,829,1989,2000,NA,NA,NA,0,0,0
100018840062,829,1998,2000,NA,NA,NA,NA,NA,0
100018924167,829,1995,2000,NA,NA,NA,NA,0,0
100013686060,829,1992,2000,NA,NA,NA,1,1,1
100019508123,829,1977,2000,0,0,0,0,0,0
100014797859,829,1994,2000,NA,NA,NA,NA,0,0
100010353710,829,1999,2000,NA,NA,NA,NA,NA,0
100009163849,829,1980,1989,NA,0,0,0,NA,NA
100001860970,829,1999,2000,NA,NA,NA,NA,NA,0
100007883099,829,1977,2000,0,0,0,0,0,0
100008567288,829,1977,2000,0,0,0,0,0,0
100009425103,829,1977,2000,0,0,0,0,0,0
100018115065,829,1986,1987,NA,NA,0,NA,NA,NA
100006039078,829,2000,2000,NA,NA,NA,NA,NA,0
100002190432,829,1977,2000,0,0,0,0,0,0
100010662935,829,1988,2000,NA,NA,NA,0,0,0
100004517791,829,1977,2000,1,1,0,0,0,0
100008438700,829,1977,1977,1,NA,NA,NA,NA,NA
100011442265,829,1983,1987,NA,NA,0,NA,NA,NA
100004973193,829,1977,2000,0,0,0,0,0,0
100013996504,829,1977,2000,0,0,0,0,0,0
100001948149,829,1985,2000,NA,NA,0,0,0,0
100020927340,829,1977,1982,0,0,NA,NA,NA,NA
100017644731,829,1998,1999,NA,NA,NA,NA,NA,0
100012453430,829,1977,1991,0,0,0,0,NA,NA
100002074119,829,1977,1978,0,0,NA,NA,NA,NA
100015594998,829,1977,2000,0,0,0,0,0,0
100011134045,829,1977,2000,1,0,0,0,0,0
100006368651,829,1977,1978,0,0,NA,NA,NA,NA
100013219439,829,1977,2000,0,0,0,0,0,0
100019650465,829,1977,1977,1,NA,NA,NA,NA,NA
100009601915,829,1981,1982,NA,0,NA,NA,NA,NA
100000610290,829,1977,2000,1,1,1,0,0,0
100003185642,829,1977,1993,0,0,1,1,1,NA
100001673993,829,1977,1979,0,0,NA,NA,NA,NA
100011205503,829,1977,2000,0,0,0,0,0,0
100002968171,829,1977,1977,1,NA,NA,NA,NA,NA
100005128566,829,1988,2000,NA,NA,NA,0,0,0
100003439103,829,1997,1999,NA,NA,NA,NA,0,0
100017187152,829,1977,1979,0,0,NA,NA,NA,NA
100004509199,829,1982,1998,NA,1,1,1,1,1
100016556408,829,1985,1990,NA,NA,0,0,NA,NA
100001397856,829,1994,1995,NA,NA,NA,NA,0,NA
100003355964,829,1988,1999,NA,NA,NA,0,0,0
100011073196,829,1977,1977,1,NA,NA,NA,NA,NA
100005602000,829,1977,1980,0,0,NA,NA,NA,NA
100000046270,829,1977,2000,0,0,0,0,0,0
100017478865,829,1984,1988,NA,NA,0,0,NA,NA
100006275147,829,1993,2000,NA,NA,NA,NA,0,0
100009034505,829,1977,2000,0,0,0,0,0,0
100020740647,829,1983,1987,NA,NA,1,NA,NA,NA
100007174048,829,1989,1993,NA,NA,NA,0,0,NA
100010929699,829,1982,1987,NA,0,0,NA,NA,NA
100019934483,829,1988,1994,NA,NA,NA,0,0,NA
100016996605,829,1996,2000,NA,NA,NA,NA,0,0
100015573573,829,1982,1983,NA,0,0,NA,NA,NA
100011764084,829,1983,1986,NA,NA,1,NA,NA,NA
100016733922,829,1983,2000,NA,NA,0,0,0,0
100006444913,829,1977,2000,1,0,0,0,0,0
100017786395,829,1985,1988,NA,NA,1,1,NA,NA
100009734945,829,1985,2000,NA,NA,0,0,0,0
100000827226,829,1977,2000,1,1,1,1,1,1
100005700180,829,1977,2000,1,1,0,0,0,0
100003987554,829,2000,2000,NA,NA,NA,NA,NA,0
100010540899,829,1982,1983,NA,0,0,NA,NA,NA
100007679083,829,2000,2000,NA,NA,NA,NA,NA,0
100000620198,829,1999,2000,NA,NA,NA,NA,NA,1
100005366530,829,1990,2000,NA,NA,NA,0,0,0
100014332892,829,1998,2000,NA,NA,NA,NA,NA,1
100018847473,829,1995,1998,NA,NA,NA,NA,0,0
100007712601,829,1977,1980,0,0,NA,NA,NA,NA
100009273444,829,1989,1998,NA,NA,NA,0,0,0
100014142077,829,1977,2000,1,1,1,1,1,1
100012897173,829,1996,2000,NA,NA,NA,NA,0,0
100002441300,829,1977,1991,0,0,0,0,NA,NA
100003452014,829,1977,2000,1,1,1,1,1,1
100007187221,829,1988,2000,NA,NA,NA,0,0,0
100003993593,829,1998,2000,NA,NA,NA,NA,NA,0
100018765584,829,1977,1984,0,0,0,NA,NA,NA
100005051169,829,1982,1986,NA,1,1,NA,NA,NA
100015066759,829,1991,1997,NA,NA,NA,0,0,NA
100018366277,829,1977,2000,0,0,0,0,0,0
100018886961,829,1977,1991,0,0,0,0,NA,NA
100012346720,829,1988,1995,NA,NA,NA,0,0,NA
100007212861,829,1977,1980,0,0,NA,NA,NA,NA
100017797622,829,1977,2000,0,0,0,0,0,0
100017116441,829,1977,2000,0,0,0,0,0,0
100007821949,829,1997,1999,NA,NA,NA,NA,0,0
100015970726,829,1992,1993,NA,NA,NA,0,0,NA
100000922555,829,1990,1997,NA,NA,NA,0,0,NA
100008709647,829,1977,2000,0,0,0,0,0,0
100003576354,829,1994,2000,NA,NA,NA,NA,1,1
100000811520,829,2000,2000,NA,NA,NA,NA,NA,1
